时间节点,计算日期,品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,PLATTS LP,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态,销售价格
M+1,2026-10-01,SP10块,99.46,18.52,58.7,4.2,0.045,6.7253,0.2514,804.12,,,,,,,缺少销售价格,
M+1,2026-10-01,罗伊山块,99.46,18.52,60.5,4.8,0.028,6.7253,0.2514,831.01,863.5,874.0,853.0,32.49,42.99,21.99,正常,
M+2,2026-11-01,PB粉,99.55,18.52,60.8,8.8,0.0,6.7253,0.2514,719.38,705.0,696.0,714.0,-14.38,-23.38,-5.38,正常,
M+2,2026-11-01,纽曼粉,99.55,18.52,61.2,8.3,-0.62,6.7253,0.2514,721.7,710.5,706.0,715.0,-11.2,-15.7,-6.7,正常,
M+2,2026-11-01,麦克粉,99.55,18.52,60.5,8.5,-0.12,6.7253,0.2514,717.64,706.5,699.0,714.0,-11.14,-18.64,-3.64,正常,
M+2,2026-11-01,金布巴粉,99.55,18.52,60.3,7.6,-4.05,6.7253,0.2514,693.59,685.0,673.0,697.0,-8.59,-20.59,3.41,正常,
M+2,2026-11-01,罗伊山粉,99.55,18.52,60.7,9.0,0.0,6.7253,0.2514,717.28,693.0,687.0,699.0,-24.28,-30.28,-18.28,正常,
M+2,2026-11-01,巴混BRBF,102.169,18.52,63.0,7.5,0.0,6.7253,0.2514,759.79,764.5,764.0,765.0,4.71,4.21,5.21,正常,
M+2,2026-11-01,SP10粉,99.55,18.52,56.5,7.5,0.143,6.7253,0.2514,613.9,,,,,,,缺少销售价格,
M+2,2026-11-01,混合粉,99.55,18.52,58.2,8.0,0.0675,6.7253,0.2514,664.77,658.0,656.0,660.0,-6.77,-8.77,-4.77,正常,
M+2,2026-11-01,超特粉,99.55,18.52,56.5,9.5,0.21,6.7253,0.2514,570.42,572.0,564.0,580.0,1.58,-6.42,9.58,正常,
M+2,2026-11-01,IOC6粉,99.55,18.52,61.5,9.0,-5.6,6.7253,0.2514,685.37,696.0,688.0,704.0,10.63,2.63,18.63,正常,
M+2,2026-11-01,印粉57,99.55,18.52,57.0,8.0,0.0,6.7253,0.2514,689.6,531.5,535.0,528.0,-158.1,-154.6,-161.6,正常,
M+2,2026-11-01,印粉54,99.55,18.52,54.5,9.0,0.0,6.7253,0.2514,661.46,,,,,,,缺少销售价格,
M+2,2026-11-01,卡粉,113.184,18.52,65.0,8.5,0.0,6.7253,0.2514,817.04,858.5,848.0,869.0,41.46,30.96,51.96,正常,
M+2,2026-11-01,乌精68,99.55,18.52,68.0,9.0,0.0,6.7253,0.2514,750.23,,,,,,,缺少销售价格,
M+2,2026-11-01,乌精65,113.184,18.52,65.0,9.0,-1.5,6.7253,0.2514,802.36,874.0,869.0,879.0,71.64,66.64,76.64,正常,
M+2,2026-11-01,PB块,99.55,18.52,61.6,4.0,0.0,6.7253,0.2514,865.78,899.0,894.0,904.0,33.22,28.22,38.22,正常,
M+2,2026-11-01,纽曼块,99.55,18.52,62.0,4.1,0.0,6.7253,0.2514,881.17,908.0,901.0,915.0,26.83,19.83,33.83,正常,
M+2,2026-11-01,SP10块,99.55,18.52,58.7,4.2,0.045,6.7253,0.2514,804.73,,,,,,,缺少销售价格,
